"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-students.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\profile.router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\staff-routes.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\Programming\Projects\library\client\src\dashboard\student\components\navbar\navbar.component.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 8, 94
"d:\Programming\Projects\library\client\src\dashboard\student\hooks\http-requests.hooks.student.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\student\pages\homepage\homepage.page.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\student\pages\issue-history\issue-history.page.student.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 0, 9, 141
"d:\Programming\Projects\library\client\src\dashboard\student\routes\student-routes.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"d:\Programming\Projects\library\client\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Programming\Projects\library\client\src\utils\functions.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 9, 15, 79
"d:\Programming\Projects\library\package-lock.json", "JSON", 317, 0, 0, 0, 0, 0, 0, 0, 1, 318
"d:\Programming\Projects\library\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Programming\Projects\library\server\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\server\package-lock.json", "JSON", 3272, 0, 0, 0, 0, 0, 0, 0, 1, 3273
"d:\Programming\Projects\library\server\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Programming\Projects\library\server\src\Student Registration Detail Form.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\Programming\Projects\library\server\src\app.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 10, 47
"d:\Programming\Projects\library\server\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"d:\Programming\Projects\library\server\src\models\applications\applications.controllers.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Programming\Projects\library\server\src\models\applications\applications.schema.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\server\src\models\auth\admin\aduth_admin.controllers.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Programming\Projects\library\server\src\models\auth\applicant\auth_applicant.controllers.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Programming\Projects\library\server\src\models\auth\auth.schema.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\Programming\Projects\library\server\src\models\auth\functions.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 4, 29
"d:\Programming\Projects\library\server\src\models\auth\student\auth_student.controllers.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.controllers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.schema.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Programming\Projects\library\server\src\models\books\books.controllers.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 15, 95
"d:\Programming\Projects\library\server\src\models\books\books.schema.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Programming\Projects\library\server\src\models\fines\fines.controllers.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 9, 32
"d:\Programming\Projects\library\server\src\models\fines\fines.schema.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.controllers.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 19, 123
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.controllers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.controllers.models.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 30, 188
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.schema.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Programming\Projects\library\server\src\models\staff\staff.controllers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\server\src\models\staff\staff.schema.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\server\src\models\students\students.controllers.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 13, 58
"d:\Programming\Projects\library\server\src\models\students\students.schema.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Programming\Projects\library\server\src\router\admin\admin.router.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Programming\Projects\library\server\src\router\admin\books\books.middlewares.admin.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 5, 68
"d:\Programming\Projects\library\server\src\router\admin\books\books.router.admin.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 10, 119
