"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Programming\Projects\library\server\src\models\auth\student\auth_student.controllers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.controllers.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 10, 53
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\books\books.controllers.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 15, 96
"d:\Programming\Projects\library\server\src\models\books\books.schema.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.controllers.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 19, 123
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.schema.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.controllers.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.controllers.models.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 29, 181
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.schema.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Programming\Projects\library\server\src\models\staff\staff.controllers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\server\src\models\staff\staff.schema.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 3, 68
"d:\Programming\Projects\library\server\src\models\students\students.controllers.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 13, 65
"d:\Programming\Projects\library\server\src\models\students\students.schema.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"d:\Programming\Projects\library\server\src\router\admin\admin.router.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Programming\Projects\library\server\src\router\admin\books\books.middlewares.admin.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 5, 68
"d:\Programming\Projects\library\server\src\router\admin\books\books.router.admin.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 10, 118
"d:\Programming\Projects\library\server\src\router\admin\database\database.router.admin.js", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 0, 15, 184
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.middlewares.js", "JavaScript", 0, 325, 0, 0, 0, 0, 0, 12, 26, 363
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.router.admin.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 11, 126
"d:\Programming\Projects\library\server\src\router\admin\settings\settings.router.admin.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Programming\Projects\library\server\src\router\admin\staff\staff.router.admin.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"d:\Programming\Projects\library\server\src\router\admin\students\students.router.admin.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 0, 35, 238
"d:\Programming\Projects\library\server\src\router\applicant\applicant.router.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 8, 45
"d:\Programming\Projects\library\server\src\router\auth\admin\admin-router.auth.router.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Programming\Projects\library\server\src\router\auth\admin\email-sign-on.admin.auth.router.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.email-sign-on.auth.router.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
